"POP_ID","Species","streamName","Latitude","Longitude","avgSpawners","nYears","quality","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
44858,"Chinook","Takhanne River",60.09442906,-136.9919185,201.55,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,184,358,395,169,158,325,86,77,351,342,260,230,190,136,194,NA,NA,220,105,46,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45492,"Sockeye","Christina Creek",57.24130661,-131.8530702,33.5555555555556,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,67,0,6,7,10,4,NA,50,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45144,"Sockeye","Tahltan River",58.00994991,-130.9812919,25196.5333333333,60,1.10526315789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,4311,6387,16619,14508,1780,18353,1471,21580,38801,19726,11805,8419,18523,52545,2877,8101,8159,24111,42960,22788,10211,11018,50790,28257,21256,32777,67326,20280,6958,2536,8316,14927,50135,59907,53362,46363,42317,52500,12483,12658,10748,6076,14811,17740,53933,63372,43446,53855,21074,10516,30673,22860,34588,13687,15828,40145,33159,38631,19241,19208,NA
45143,"Sockeye","Chutine River",57.65300133,-131.6324045,121.166666666667,30,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,253,139,6,14,29,24,0,164,57,267,13,134,204,230,56,NA,NA,239,240,245,66,276,0,83,51,103,NA,NA,2,52,NA,2,141,19,NA
44575,"Sockeye","Kuthai Lake",59.23088759,-133.2336383,3046.72,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1658,2299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1457,6312,5427,3310,4243,5746,1934,10042,4096,1663,7697,7769,1578,6004,1015,204,NA,NA,NA,NA,182,1195,208,341,1476,299,13,NA
45160,"Sockeye","Little Trapper Lake",58.49610145,-132.6049502,11227,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14889,13820,12007,10637,9606,9443,22942,14372,17432,13438,11524,5483,5924,8717,11801,725,NA,NA,16860,11484,31227,9613,16009,25265,7153,NA,5552,3372,3809,10015,4840,6707,13253,7771,6552,8249,NA
45151,"Sockeye","Tatsamenie River",58.4400493,-132.3948794,9333.20689655172,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13093,11446,2794,2063,3039,5736,8381,6576,5028,4371,8000,10381,8363,7496,NA,7575,22575,5495,4515,1951,3372,22475,11187,NA,NA,NA,NA,15605,10246,2106,1537,32934,27237,5086,NA
44855,"Sockeye","Klukshu River",60.11586335,-137.0362158,14699.4,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7941,15441,19017,7051,10850,18448,28899,18017,10227,17259,22936,9346,7737,21636,24607,17645,18269,14921,13892,19817,7891,11303,13580,5101,NA,10290,25711,34362,15348,3373,13455,NA,NA,NA,18960,21389,17694,3902,12384,11588,7584,3889,7143,19073
44862,"Sockeye","Nesketahin Lake",60.17402558,-137.0754633,968.666666666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,NA,NA,NA,456,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45139,"Sockeye","Bronson Creek",56.6830666,-131.0695234,32.4444444444444,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,32,138,79,62,72,27,12,9,54,NA,NA,13,0,0,23,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
